,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
133,Memorandum on Assistance to Peacekeeping Efforts in Liberia,Memorandum for the Secretary of State,Transfer of $3.0 Million in FY 1995 Economic Support Funds to the Peacekeeping Operations Account to Support African Peacekeeping Efforts in Liberia,,,William J. Clinton,"May 16, 1995",,19950522
134,Memorandum on Trade With Romania,Memorandum for the Secretary of State,"Presidential Determination Under Subsections 402(a) and 409(a) of the Trade Act of 1974, as Amended--Emigration Policies of the Republic of Romania",,,William J. Clinton,"May 19, 1995",,19950529
135,Memorandum on Trade With China,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 2, 1995",,19950605
136,Memorandum on Trade With Former Eastern Bloc States,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 2, 1995",,19950605
137,Memorandum on the International Fund for Ireland,Memorandum for the Secretary of State,Certification to Permit U.S. Contributions to the International Fund for Ireland for Fiscal Years 1994 and 1995,,,William J. Clinton,"June 8, 1995",,19950612
138,Memorandum on Assistance to the New Independent States of the Former ,Memorandum for the Secretary of State,Assistance Program for New Independent States of the Former Soviet Union,,,William J. Clinton,"June 5, 1995",,19950612
139,Memorandum on Supporting the Role of Fathers in Families,Memorandum for the Heads of Executive Departments and Agencies,Supporting the Role of Fathers in Families,,,William J. Clinton,"June 16, 1995",,19950626
140,Memorandum on Jordan,Memorandum for the Secretary of State,Certification of Jordan Under Section 130(c) of the International Security and Development Cooperation Act of 1985,,,William J. Clinton,"June 23, 1995",,19950703
141,Memorandum on Assistance to Haiti,Memorandum for the Secretary of State,"Drawdown of the Commodities and Services from the Inventory and Resources of the Departments of Defense, Justice, Treasury and State to Support Accelerated Training and Equipping of Haitian Police Forces",,,William J. Clinton,"June 23, 1995",,19950703
142,Memorandum on the Combined Federal Campaign,Memorandum for the Heads of Executive Departments and Agencies,,,,William J. Clinton,"June 28, 1995",,19950703
143,Memorandum on Upgrading Security at Federal Facilities,Memorandum for Executive Departments and Agencies,Upgrading Security at Federal Facilities,,,William J. Clinton,"June 28, 1995",,19950703
144,Memorandum on Religious Expression in Public Schools,"Memorandum for the Secretary of Education, the Attorney General",Religious Expression in Public Schools,,,William J. Clinton,"July 12, 1995",,19950717
145,Memorandum on Affirmative Action,Memorandum for Heads of Executive Departments and Agencies,Evaluation of Affirmative Action Programs,,,William J. Clinton,"July 19, 1995",,19950724
146,Memorandum on Angola,Memorandum for the Secretary of State,Eligibility of Angola to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"July 28, 1995",,19950731
147,Memorandum on Assistance to the United Nations Rapid Reaction Force in ,Memorandum for the Secretary of State; the Secretary of Defense,Determination to Authorize the Furnishing of Emergency Military Assistance to the United Nations for Purposes of Supporting the Rapid Reaction Force in Bosnia Under Section 506(a)(1) of the Foreign Assistance Act,,,William J. Clinton,"July 31, 1995",,19950807
148,Memorandum on Timber Salvage Legislation,"Memorandum for the Secretary of the Interior; the Secretary of Agriculture; the Secretary of Commerce; the Administrator, Environmental Protection Agency",Implementing Timber-Related Provisions to Public Law 104-19,,,William J. Clinton,"August 1, 1995",,19950807
149,Memorandum on Assistance to the United Nations Rapid Reaction Force in ,Memorandum for the Secretary of State and the Secretary of Defense,Determination to Authorize the Furnishing of Emergency Military Assistance to the United Nations for Purposes of Supporting the Rapid Reaction Force in Bosnia Under Section 506(a)(1) of the Foreign Assistance Act,,,William J. Clinton,"August 3, 1995",,19950807
150,Memorandum on Community Right-To-Know Initiatives,Memorandum for the Administrator of the Environmental Protection Agency and the Heads of Executive Departments and Agencies,Expediting Community Right-to-Know Initiatives,,,William J. Clinton,"August 8, 1995",,19950814
151,Memorandum on the President's Oklahoma City Scholarship Fund,Memorandum for the Heads of Executive Departments and Agencies,The President's OKC Scholarship Fund,,,William J. Clinton,"August 9, 1995",,19950814
152,Memorandum on Mobile Services Antennas,Memorandum for the Heads of Departments and Agencies,Facilitating Access to Federal Property for the Siting of Mobile Services Antennas,,,William J. Clinton,"August 10, 1995",,19950814
153,Memorandum on Emerging Democracies,Memorandum for the Secretary of State; the Secretary of Agriculture,"Presidential Determination Under Section 1542(f) of the Food, Agriculture, Conservation and Trade Act of 1990, as Amended--Emerging Democracies",,,William J. Clinton,"August 10, 1995",,19950814
154,Memorandum on the Palestine Liberation Organization,Memorandum for the Secretary of State,Suspending Restrictions on U.S. Relations with the Palestine Liberation Organization,,,William J. Clinton,"August 14, 1995",,19950821
155,Memorandum on Assistance to Mongolia,Memorandum for the Secretary of State,Eligibility for Mongolia to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"August 22, 1995",,19950828
156,Memorandum on Unfunded Mandates Reform,Memorandum for the Director of the Office of Management and Budget,"Delegation of Authority To Issue Guidelines and Instructions to Federal Agencies on Consulting With State, Local, and Tribal Governments",,,William J. Clinton,"August 25, 1995",,19950828
157,Memorandum on Assistance to Rwanda,"Memorandum for the Administrator, U.S. Agency for International Development",Determination to Allow DFA to be used to Support Administration of Justice Activities in Rwanda,,,William J. Clinton,"September 1, 1995",,19950911
158,Memorandum on the Korean Peninsula Energy Development Organization,Memorandum for the Secretary of State,Use of International Organizations and Programs Account Funds for an Initial U.S. Contribution to the Korean Peninsula Energy Development Organization (KEDO),,,William J. Clinton,"September 1, 1995",,19950911
159,Memorandum on the Trading With the Enemy Act,"Memorandum for the Secretary of State, the Secretary of the Treasury",Extension of the Exercise of Certain Authorities Under the Trading With the Enemy Act,,,William J. Clinton,"September 8, 1995",,19950918
160,Memorandum on Career Transition Assistance for Federal Employees,Memorandum for the Heads of Executive Departments and Agencies,Career Transition Assistance for Federal Employees,,,William J. Clinton,"September 12, 1995",,19950918
161,Memorandum on Travel to Lebanon,Memorandum for the Secretary of Transportation,Partial Resumption of Travel to Lebanon,,,William J. Clinton,"September 15, 1995",,19950925
162,Memorandum on Assistance to Rwanda and Burundi,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"September 20, 1995",,19950925
163,Memorandum on the Domestic Violence Awareness Campaign,Memorandum for Heads of Executive Departments and Agencies,Federal Employee Domestic Violence Awareness Campaign,,,William J. Clinton,"October 2, 1995",,19951009
164,Memorandum on Absence of Federal Employees in the Aftermath of Hurricane ,Memorandum for the Heads of Executive Departments and Agencies,Excused Absence for Employees Affected by Hurricane Opal and Its Aftermath,,,William J. Clinton,"October 6, 1995",,19951016
165,Memorandum on United States Relations With the Palestine Liberation ,Memorandum for the Secretary of State,Suspending Restrictions on U.S. Relations with the Palestine Liberation Organization,,,William J. Clinton,"November 13, 1995",,19951120
166,Memorandum on Federal Arrestee Drug Testing,Memorandum for the Attorney General,Development of the Administration's Federal Arrestee Drug Testing Policy,,,William J. Clinton,"December 18, 1995",,19951225
167,Memorandum Suspending Sanctions Against the Federal Republic of Yugoslavia (Serbia and Montenegro),"Memorandum for the Secretary of State, the Secretary of the Treasury, the Secretary of Transportation",Presidential Certification to Suspend Sanctions Imposed on the Federal Republic of Yugoslavia (Serbia and Montenegro),,,William J. Clinton,"December 27, 1995",,19960101
168,Memorandum on Relations With the Palestine Liberation Organization,Memorandum for the Secretary of State,Suspending Restrictions on U.S. Relations with the Palestine Liberation Organization,,,William J. Clinton,"January 4, 1996",,19960108
169,Memorandum on Missing Persons and Missing Children,Memorandum for the Heads of Executive Departments and Agencies,Missing Persons or Children Notices in Federal Facilities,,,William J. Clinton,"January 19, 1996",,19960122
170,Memorandum on Food Assistance to Developing Countries,Memorandum for the Secretary of Agriculture,Presidential Determination on Food Security Wheat Reserve Release,,,William J. Clinton,"January 22, 1996",,19960129
171,Memorandum on Benefits for Military Personnel Subject to Involuntary ,"Memorandum for the Secretary of Defense, the Secretary of Transportation, the Secretary of Veterans Affairs",Benefits for Military Personnel Involuntarily Separated from the Armed Services as a Result of HIV,,,William J. Clinton,"February 9, 1996",,19960212
172,Memorandum on the School Uniforms Manual,Memorandum for the Secretary of Education,Manual on School Uniforms,,,William J. Clinton,"February 24, 1996",,19960304
173,Memorandum on the Argentina-United States Nuclear Energy Agreement,"Memorandum for the Secretary of State,",Presidential Determination on the Proposed Agreement for Cooperation Between the United States of America and the Argentine Republic Concerning Peaceful Uses of Nuclear Energy,,,William J. Clinton,"February 28, 1996",,19960304
174,Memorandum on Narcotics Producing and Transit Countries,Memorandum for the Secretary of State,Certification for Major Narcotics Producing and Transit Countries,,,William J. Clinton,"March 1, 1996",,19960304
175,Memorandum on Assistance to Slovenia and the Former Yugoslav Republic of ,Memorandum for the Secretary of State,Eligibility of Slovenia and the Former Yugoslav Republic of Macedonia to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"March 8, 1996",,19960318
